dictionary_id,name,description,label,type,code,value
1,manifestID,Identifier for the manifest,Manifest ID,varchar,,
1,Protocol,Protocol in which the procedures for sample collection were outlined.,Protocol,enum,1,Phase 1A
1,Protocol,Protocol in which the procedures for sample collection were outlined.,Protocol,enum,2,Phase 2B
1,Protocol,Protocol in which the procedures for sample collection were outlined.,Protocol,enum,3,Pilot
1,siteName,The site where the samples were collected. One of three PASS Iowa, Florida, or Joslin.,Site,enum,910,Joslin
1,siteName,The site where the samples were collected. One of three PASS Iowa, Florida, or Joslin.,Site,enum,930,University of Florida
1,siteName,The site where the samples were collected. One of three PASS Iowa, Florida, or Joslin.,Site,enum,940,University of Iowa
1,species,In the Pilot Joslin and Florida sites used the Fischer 344xBrown Norway crossbreed and Iowa used the Fischer 344,Species,enum,1,Fischer 344
1,species,In the Pilot Joslin and Florida sites used the Fischer 344xBrown Norway crossbreed and Iowa used the Fischer 344,Species,enum,2,Fischer 344 X Brown Norway
1,pid,Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data,Animal Participant ID,numeric,,
1,vialLabel,Unique 11 digit numeric identifier of a sample vial made up of the BID, Timepoint, Sample Type, and Aliquot number,Vial Label,numeric,,
1,bid,Unique 5 digit numeric identifier of all samples collected for an acute test/sample collection period. All samples collected during that period will have the same BID.,Biospecimen ID,numeric,,
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,30,Rat PaxGene RNA
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,31,Rat Plasma
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,32,Rat Packed Cells
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,33,Rat Hippocampus
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,34,Rat Cortex
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,35,Rat Hypothalmus
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,36,Rat Gastrocnemius
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,37,Rat Vastus Lateralis
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,38,Rat Tibia
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,39,Rat Heart
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,40,Rat Kidney
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,41,Rat Adrenals
1,sampleTypeCode,2 digit code for the type of tissue in the sample to be used for analysis,Sample Type,enum,42,Rat Colon
